LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room
692.7,223.5,2,3,3,1067,0
692.7,316.0,2,3,3,1067,0
1695.9,376.0,2,3,3,1067,0
931.5,339.0,2,3,3,1067,0
125.4,285.5,1,2,2,1069,0
74.0,9.5,1,1,1,1068,0
280.0,195.0,1,10,5,1072,0
216.0,44.0,1,4,4,1070,0
350.0,70.0,1,10,5,1071,0
370.0,33.0,1,3,3,1069,0
148.0,14.0,1,2,2,1068,0
111.0,27.0,2,4,2,943,1
370.0,37.5,1,3,3,1069,0
298.0,48.0,1,8,2,1068,0
355.0,115.0,2,6,3,273,1
146.0,49.0,1,4,2,1068,1
370.0,80.0,1,3,3,1069,0
231.0,90.0,1,6,3,1069,0
112.0,12.0,1,2,2,1068,0
92.0,37.0,1,4,2,1067,0
135.0,47.0,1,4,2,1067,1
177.0,77.0,3,3,3,167,0
25.0,17.0,1,3,1,1066,0
174.0,44.0,1,8,4,1069,0
60.6,17.0,1,3,1,1066,0
690.0,97.5,1,10,10,1075,1
237.0,43.0,1,6,3,1068,1
146.0,83.0,1,4,2,1067,1
438.0,76.0,1,4,2,1067,1
205.0,46.5,1,1,1,1066,0
690.0,85.0,1,10,10,1075,0
86.0,55.0,1,4,2,1067,0
690.0,80.5,1,10,10,1075,0
46.0,83.0,1,4,2,1067,1
135.9,28.0,1,4,2,1067,1
690.0,168.5,1,10,10,1075,0
117.0,21.0,1,1,1,1066,0
601.0,121.0,1,12,3,1068,0
151.11,59.0,1,6,3,1067,1
151.11,77.5,1,6,3,1067,1
201.0,75.5,1,6,3,1067,0
146.0,26.0,1,4,2,1066,1
146.0,33.0,1,4,2,1066,1
168.0,105.1,1,6,3,1067,0
268.0,92.0,1,8,4,1068,0
231.0,40.0,1,6,3,1067,0
204.0,44.5,1,6,3,1067,0
168.0,30.0,1,6,3,1066,0
146.0,34.0,1,2,2,1065,0
327.22,129.3,2,4,4,930,1
118.0,14.0,1,2,2,1065,0
232.0,176.5,1,8,4,1067,0
148.26,23.0,1,5,1,1064,1
92.0,28.0,1,4,2,1065,1
151.92,42.0,1,6,3,1066,0
168.0,30.0,1,6,3,1065,0
138.0,132.0,1,6,3,1065,1
158.0,183.49,1,4,2,1064,0
73.0,7.0,1,1,1,1063,0
249.0,21.0,1,1,1,1063,0
83.0,75.0,1,1,1,1063,0
350.0,76.5,1,14,7,1069,0
207.0,36.0,1,3,3,1065,0
59.0,7.0,1,1,1,1063,0
79.0,11.0,1,2,1,1062,0
112.0,37.0,1,4,2,1063,0
180.66,30.0,1,3,3,1064,1
128.0,18.0,2,2,2,1034,0
73.0,7.0,1,1,1,1062,0
158.0,33.5,1,4,2,1063,0
168.0,44.0,1,4,4,1065,0
219.0,32.5,1,3,3,1064,0
168.0,42.5,1,6,3,1063,0
158.8,38.2,1,4,2,1062,0
118.0,30.5,1,2,2,1062,0
158.0,16.5,1,2,2,1062,0
173.1,18.3,1,3,3,1063,0
224.0,40.0,1,8,4,1064,0
224.0,40.0,1,8,4,1064,0
224.0,60.0,1,6,2,1062,0
170.0,61.7,1,2,2,1062,1
53.2,21.8,1,2,1,1061,1
54.0,42.0,2,6,4,1062,0
126.0,39.0,1,2,1,1061,0
73.0,9.5,1,1,1,1060,0
128.0,14.0,1,2,2,1061,0
126.0,46.0,1,4,2,1061,0
116.14,28.0,1,4,2,1061,1
126.0,46.0,1,4,2,1061,0
73.0,7.0,1,1,1,1060,0
126.0,46.0,1,4,2,1061,0
126.0,46.0,1,4,2,1061,0
378.0,199.5,1,4,2,769,1
126.0,51.0,1,4,2,1061,0
126.0,28.0,1,4,2,1061,0
290.0,301.0,1,12,6,1065,0
128.0,193.24,1,2,2,1061,0
219.0,59.0,1,3,3,1062,1
295.12,72.48,1,8,4,1062,0
158.0,14.5,1,2,2,1060,0
316.0,49.5,1,2,2,1060,0
316.0,26.0,1,2,2,1060,0
79.0,7.0,1,1,1,1059,0
790.0,64.0,1,4,4,1062,0
94.0,7.0,1,1,1,1059,0
138.0,113.0,1,6,3,1061,0
168.0,30.0,1,6,3,1061,0
178.0,16.0,1,2,2,1060,0
237.0,123.0,1,6,3,1061,0
227.0,28.5,2,4,2,1010,1
1660.0,345.5,1,8,4,1062,0
790.0,772.0,1,4,4,1062,0
490.0,80.0,1,6,3,1061,0
158.0,21.5,1,2,2,1060,0
632.0,92.8,1,4,4,1062,0
100.0,26.0,1,3,1,1059,0
158.0,53.0,1,4,2,1060,0
135.0,4.0,1,4,2,1060,0
60.8,23.0,1,2,1,1059,0
172.8,42.0,1,6,3,1061,1
144.0,220.5,1,6,3,1061,0
429.0,236.0,1,4,2,1060,0
376.0,44.5,1,4,4,1062,0
308.0,64.0,1,8,4,1061,0
470.0,33.0,1,3,3,1060,0
237.0,0.0,1,2,1,1058,0
79.0,11.5,1,2,1,1058,0
230.0,70.0,1,10,5,1062,0
168.0,37.5,1,6,3,1060,0
230.0,116.0,1,10,5,1062,0
138.0,42.0,1,6,3,1060,0
109.0,21.0,1,3,1,1058,0
285.0,70.0,1,10,5,1062,0
170.94,65.0,1,3,3,1060,1
126.0,28.0,1,4,2,1059,0
378.0,91.5,1,4,2,1059,0
266.9,40.6,1,10,5,1062,0
415.0,115.5,1,6,3,1060,0
150.66,44.5,1,6,3,1060,0
632.0,52.0,1,4,4,1061,0
174.0,87.5,1,6,3,1060,0
207.0,59.5,1,8,4,1061,0
187.6,74.4,1,4,2,1059,1
94.0,26.0,1,3,1,1057,0
116.0,37.5,1,6,3,1059,0
73.0,7.0,1,1,1,1057,0
54.0,7.0,1,1,1,1057,0
213.0,15.0,1,5,1,1057,0
251.5,190.0,1,12,3,1059,0
334.5,95.0,1,9,3,1059,1
86.0,42.5,1,4,2,1058,0
86.0,39.5,1,4,2,1058,0
411.6,216.4,1,12,3,1059,0
284.55,154.8,1,4,4,1060,1
239.0,34.0,1,6,2,1058,0
454.5,448.5,1,6,2,1058,0
116.14,48.5,1,4,2,1058,1
156.0,45.0,1,6,3,1058,0
216.0,63.0,1,9,3,1058,0
180.0,51.0,1,9,3,1058,0
156.0,69.0,1,6,3,1058,0
58.07,23.0,1,2,1,1056,1
156.6,38.4,1,6,3,1058,0
112.0,26.58,1,3,1,1056,0
184.5,21.0,1,3,3,1058,1
553.5,63.0,1,3,3,1058,1
129.0,36.0,1,6,3,1058,0
155.88,42.0,1,6,2,1057,0
196.36,8.0,1,8,4,1059,0
73.0,7.0,1,1,1,1056,0
158.0,72.0,1,4,2,1057,0
180.0,42.0,1,6,3,1058,0
176.0,460.14,1,4,2,1057,0
144.0,124.5,1,6,3,1058,0
214.88,17.0,1,8,4,1059,0
