LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room,Cluster
129.0,16.5,1,1,1,968,0,Budget Guests
433.1,75.0,1,8,4,971,1,Group Travelers
282.6,42.0,1,6,2,969,1,Group Travelers
288.0,31.0,1,4,2,969,0,Budget Guests
807.0,66.0,1,3,3,970,0,Budget Guests
382.2,56.0,1,8,4,970,0,Budget Guests
199.9,36.0,1,4,2,968,0,Budget Guests
390.08,91.0,1,12,4,970,0,Budget Guests
335.53,58.5,1,8,4,970,1,Group Travelers
359.53,33.0,1,4,4,970,1,Group Travelers
335.53,58.5,1,8,4,970,1,Group Travelers
335.53,56.0,1,8,4,970,1,Group Travelers
89.0,2.0,1,2,1,967,1,Group Travelers
437.25,70.0,1,10,5,971,1,Group Travelers
1311.75,190.0,1,10,5,971,1,Group Travelers
357.0,44.0,1,8,4,970,0,Budget Guests
406.3,204.0,1,8,4,970,1,Group Travelers
406.3,167.0,1,8,4,970,1,Group Travelers
89.0,2.0,1,2,1,967,0,Budget Guests
145.5,18.0,1,2,1,967,0,Budget Guests
116.1,22.0,1,2,1,967,1,Group Travelers
216.75,104.99,1,6,3,969,0,Budget Guests
56.47,2.0,1,2,1,967,0,Budget Guests
56.47,5.0,1,2,1,967,0,Budget Guests
56.47,6.0,1,2,1,967,0,Budget Guests
482.4,63.5,1,8,4,970,1,Group Travelers
1447.2,171.0,1,8,4,970,1,Group Travelers
360.6,43.0,2,6,3,963,1,Group Travelers
423.9,63.0,1,9,3,969,0,Budget Guests
216.75,148.5,1,6,3,969,0,Budget Guests
529.8,187.5,1,12,4,970,0,Budget Guests
547.0,56.0,1,8,4,970,0,Budget Guests
547.0,72.0,1,8,4,970,0,Budget Guests
289.0,49.5,1,8,4,970,0,Budget Guests
402.0,72.5,1,6,3,969,1,Group Travelers
180.66,49.0,1,6,3,969,0,Budget Guests
385.2,175.0,1,6,3,969,1,Group Travelers
554.7,72.0,1,6,3,969,1,Group Travelers
279.05,63.0,1,8,4,970,1,Group Travelers
406.3,42.5,1,8,4,970,0,Budget Guests
282.6,99.0,1,6,2,968,1,Group Travelers
603.0,180.5,1,10,5,971,1,Group Travelers
208.2,31.5,1,4,2,968,0,Budget Guests
335.53,76.0,1,8,4,970,1,Group Travelers
837.0,99.0,1,3,3,969,0,Budget Guests
140.0,102.0,1,2,1,967,0,Budget Guests
79.0,2.0,1,2,1,967,1,Group Travelers
145.5,32.0,1,2,1,967,0,Budget Guests
1638.0,870.2,1,8,4,970,0,Budget Guests
606.0,86.5,1,12,4,970,1,Group Travelers
979.0,82.0,1,11,11,977,0,Budget Guests
68.53,30.3,1,2,1,966,1,Group Travelers
198.0,29.0,1,4,2,967,1,Group Travelers
603.0,88.49,1,10,5,970,1,Group Travelers
489.2,24.0,5,6,6,739,0,Budget Guests
516.0,195.0,1,8,4,969,1,Group Travelers
258.0,54.0,1,6,2,967,1,Group Travelers
291.0,42.0,1,2,1,966,0,Budget Guests
115.5,25.0,1,1,1,966,1,Group Travelers
267.0,60.6,1,1,1,966,1,Group Travelers
89.0,57.0,1,1,1,966,0,Budget Guests
232.2,26.5,1,4,2,967,1,Group Travelers
243.51,42.0,1,6,3,968,0,Budget Guests
831.12,202.5,2,10,5,957,1,Group Travelers
344.7,134.5,1,6,3,968,0,Budget Guests
198.0,5.0,1,2,2,967,1,Group Travelers
1059.6,276.0,1,8,4,969,0,Budget Guests
353.2,56.0,1,8,4,969,0,Budget Guests
89.0,22.5,1,2,1,966,0,Budget Guests
89.0,20.0,1,2,1,966,0,Budget Guests
131.0,39.0,1,3,1,966,0,Budget Guests
89.0,30.0,1,2,1,966,0,Budget Guests
91.0,7.0,1,1,1,966,0,Budget Guests
273.0,48.0,1,1,1,966,0,Budget Guests
67.31,14.0,1,2,1,966,1,Group Travelers
89.0,42.0,1,2,1,966,1,Group Travelers
89.0,2.0,1,2,1,966,0,Budget Guests
89.0,7.0,1,2,1,966,0,Budget Guests
198.0,59.0,1,2,2,967,1,Group Travelers
63.0,63.5,1,2,1,966,1,Group Travelers
89.0,22.0,1,2,1,966,0,Budget Guests
348.3,124.6,1,6,3,968,0,Budget Guests
327.0,8.5,1,6,3,968,1,Group Travelers
87.0,25.0,1,1,1,966,0,Budget Guests
87.0,9.0,1,1,1,966,0,Budget Guests
361.25,68.0,1,10,5,970,0,Budget Guests
212.0,28.0,1,4,2,967,1,Group Travelers
319.5,111.0,1,9,3,968,0,Budget Guests
156.0,44.0,1,2,2,967,0,Budget Guests
344.7,42.0,1,6,3,968,1,Group Travelers
385.2,42.0,1,6,3,968,1,Group Travelers
569.7,170.0,1,6,3,968,0,Budget Guests
66.4,7.0,1,1,1,966,0,Budget Guests
228.0,28.0,1,4,2,966,1,Group Travelers
228.0,62.0,1,4,2,966,1,Group Travelers
316.98,61.0,1,8,4,968,1,Group Travelers
135.15,26.5,1,3,1,965,0,Budget Guests
228.0,28.0,1,4,2,966,1,Group Travelers
228.0,28.0,1,4,2,966,1,Group Travelers
417.5,188.0,1,12,4,968,1,Group Travelers
496.8,74.5,1,2,2,966,0,Budget Guests
236.0,28.0,2,4,4,888,0,Budget Guests
297.0,35.5,1,6,3,967,1,Group Travelers
399.0,80.0,1,6,3,967,0,Budget Guests
297.0,42.0,1,6,3,967,1,Group Travelers
423.9,287.0,1,9,3,967,0,Budget Guests
114.9,28.5,1,2,1,965,1,Group Travelers
178.0,13.0,1,4,2,966,0,Budget Guests
261.9,38.0,1,6,3,967,0,Budget Guests
431.4,249.5,1,8,4,968,0,Budget Guests
229.5,67.0,1,6,3,967,0,Budget Guests
71.0,14.0,1,2,1,965,0,Budget Guests
